source	exception	official
12M	129T2/SvEmsJ	129T2/SvEms
12M	C57BL/6CR	C57BL/6JCrl
12M	C57BL/6NCI	C57BL/6NCrl
12M	C57BL/6Tc	C57BL/6NTac
12M	DDK	DDK/Pas
12M	DDY/JclSidSeyfrkJ	DDY/JclSidSeyFrkJ
12M	EL/SuzSeyfrkJ	EL/SuzSeyFrkJ
12M	PN/nBSWUmaDJ	PN/nBSwUmabJ
132K	NZB/B1NJ	NZB/BlNJ
132K/4M	BTBR_T+_tf/J	BTBRT+tf/J
132K/4M	CAST/Ei	CAST/EiJ
132K/4M	CZECHII/Ei	CZECHII/EiJ
132K/4M	MOLF/Ei	MOLF/EiJ
132K/4M	MOLG/DnJ	MOLG/DnJ
132K/4M	SPRET/Ei	SPRET/EiJ
65M	129P2	129P2/OlaHsD
65M	129S1	129S1/SvImJ
65M	129S5	129S5/SvEvBrd
65M	A_J	A/J
65M	AKR	AKR/J
65M	BALB	BALB/cJ
65M	C3H	C3H/HeJ
65M	C57BL	C57BL/6NJ
65M	CAST	CAST/EiJ
65M	CBA	CBA/J
65M	DBA	DBA/2J
65M	LP_J	LP/J
65M	NOD	NOD/ShiLtJ
65M	NZO	NZO/HlLtJ
65M	PWK	PWK/PhJ
65M	SPRET	SPRET/EiJ
65M	WSB	WSB/EiJ
7.9M	CALB/RK	CALB/RkJ
7.9M	HTG/GOSFSN	HTG/GoSfSnJ
7.9M	IS/CAMRK	IS/CamRkJ
7.9M	LEWES/EI	LEWES/EiJ
7.9M	PERC/EI	PERC/EiJ
7.9M	SKIVE/EI	SKIVE/EiJ
7.9M	SOD1/EI	SOD1/EiJ
adeno	BRBR T<+> tf/J	BTBRT+tf/J
age32	BTBRT<+>tf/J	BTBRT+tf/J
age32anno	Pos(build36)	pos36
age32anno	posBuild37	pos
age32anno	ProbeID	probeID
age32anno	rs.number	rsNum
bwgain	FVB/J	FVB/NJ
clinto74	ChrID	chr
clinto74	DDY/JCLSIDSEYFRKJ	DDY/JclSidSeyFrkJ
clinto74	EL/SUZ_2	EL/SuzSeyFrkJ
clinto74	KK/HLJ	KK/HlJ
clinto74	NOR/LTJ	NOR/LtJ
clinto74	position_build36	pos36
clinto74	position_build37	pos
clinto74	snp ID	snpID
clinto74	Source	source
clinto74	TALLYHO/JNGJ	TALLYHO/JngJ
CLSM6m	129S1/SvlmJ	129S1/SvImJ
CLSM6m	BTBRT<+> tf/J	BTBRT+tf/J
george	BPL/J	BPL/1J
george	JF1/Msf	JF1/Ms
george	KK/HIJ	KK/HlJ
george	MRL/MPJ	MRL/MpJ
george	SLJ/J	SJL/J
lCLNS_31	BTBR	BTBRT+tf/J
multiple	BTBR T<+> tf/J	BTBRT+tf/J
multiple	NOD/LtJ	NOD/ShiLtJ
multiple	NON/LtJ	NON/ShiLtJ
multiple	PWD/Ph	PWD/PhJ
phenoDB	NZO/H1LtJ	NZO/HlLtJ
official	129P1/ReJ	129P1/ReJ
official	129P2/OlaHsD	129P2/OlaHsD
official	129P3/J	129P3/J
official	129S1/SvImJ	129S1/SvImJ
official	129S2/SvHsd	129S2/SvHsd
