132K	4M	65M	12M	8M	7.9M
129P2/OlaHsD	129P2/OlaHsD	129P2	129S1SvlmJ	129P2/OlaHsD	129S1/SvImJ
129S1/SvImJ	129S1/SvImJ	129S1	A/J	129S1/SvImJ	129S4/SvJae
129S2/SvHsd	129S2/SvHsd	129S5	AKR/J	129S2/SvHsd	129X1/SvJ
129S4/SvJae	129S4/SvJae	AKR	BALB/cJ	129S4/SvJae	A/J
129S6/SvEv	129S6/SvEv	A_J	C3H/HeJ	129S6/SvEv	AKR/J
129T2/SvEms	129T2/SvEms	BALB	C57BL/6J	129T2/SvEms	BALB/cByJ
129X1/SvJ	129X1/SvJ	C3H	C57BL/6NCI	129X1/SvJ	BALB/cJ
A/J	A/J	C57BL	CBA/J	A/J	BPH/2J
AKR/J	AKR/J	CAST	DBA/2J	AKR/J	BPL/1J
B6A6ESlineRegeneron	B6A6ESlineRegeneron	CBA	LP/J	B6A6ESlineRegeneron	BPN/3J
BALB/cByJ	BALB/cByJ	DBA	NOD/ShiLtJ	BALB/cByJ	BTBR T<+> tf/J
BALB/cJ	BALB/cJ	LP_J	NZO/HlLtJ	BALB/cJ	BUB/BnJ
BPH/2J	BPH/2J	NOD	129P1/ReJ	BPH/2J	C3H/HeJ
BPL/1J	BPL/1J	NZO	129P3/J	BPL/1J	C57BL/10J
BPN/3J	BPN/3J	PWK	129S6	BPN/3J	C57BL/6J
BTBRT<+>tf/J	BTBR_T+_tf/J	SPRET	129T2/SvEmsJ	BTBR_T+_tf/J	C57BLKS/J
BUB/BnJ	BUB/BnJ	WSB	129X1/SvJ	BUB/BnJ	C57BR/cdJ
C2T1ESlineNagy	C2T1ESlineNagy		A/WySnJ	C2T1ESlineNagy	C57L/J
C3H/HeJ	C3H/HeJ		AEJ/GnLeJ	C3H/HeJ	C58/J
C3HeB/FeJ	C3HeB/FeJ		AEJ/GnRk	C3HeB/FeJ	CALB/RK
C57BL/10J	C57BL/10J		ALR/LtJ	C57BL/10J	CAST/EiJ
C57BL/6ByJ	C57BL/6ByJ		ALS/LtJ	C57BL/6ByJ	CBA/J
C57BL/6J	C57BL/6J		BALB/cByJ	C57BL/6J	CE/J
C57BL/6JBomTac	C57BL/6JBomTac		BDP/J	C57BL/6JBomTac	CZECHII/EiJ
C57BL/6JCrl	C57BL/6JCrl		BPH/2J	C57BL/6JCrl	DBA/1J
C57BL/6JOlaHsd	C57BL/6JOlaHsd		BPL/1J	C57BL/6JOlaHsd	DBA/2J
C57BL/6NCrl	C57BL/6NCrl		BPN/3J	C57BL/6NCrl	DDK/Pas
C57BL/6NHsd	C57BL/6NHsd		BTBRT+tf/J	C57BL/6NHsd	DDY/JCLSIDSEYFRKJ
C57BL/6NJ	C57BL/6NJ		BUB/BnJ	C57BL/6NJ	EL/SUZ_2
C57BL/6NNIH	C57BL/6NNIH		BXSB/MpJ	C57BL/6NNIH	FVB/NJ
C57BL/6NTac	C57BL/6NTac		C3HeB/FeJ	C57BL/6NTac	HTG/GOSFSN
C57BLKS/J	C57BLKS/J		C57BL/10J	C57BLKS/J	I/LnJ
C57BR/cdJ	C57BR/cdJ		C57BL/10ScNJ	C57BR/cdJ	ILS
C57L/J	C57L/J		C57BL/10ScSnJ	C57L/J	IS/CAMRK
C58/J	C58/J		C57BL/6CR	C58/J	ISS
CALB/RkJ	CALB/RkJ		C57BL/6Tc	CALB/RkJ	JF1/Ms
CAST/EiJ	CAST/Ei		C57BLKS/J	CAST/Ei	KK/HLJ
CBA/J	CBA/J		C57BR/cdJ	CBA/J	LEWES/EI
CE/J	CE/J		C57L/J	CE/J	LG/J
CZECHII/EiJ	CZECHII/Ei		C58/J	CZECHII/Ei	LP/J
DBA/1J	DBA/1J		CBA/CaJ	DBA/1J	MA/MyJ
DBA/2J	DBA/2J		CE/J	DBA/2J	MAI/Pas
DDK/Pas	DDK/Pas		CHMU/LeJ	DDK/Pas	MOLF/EiJ
DDY/JclSidSeyFrkJ	DDY/JclSidSeyFrkJ		DBA/1J	DDY/JclSidSeyFrkJ	MOLG/DN
