Strain	Animal_Id	Sex	ln_SM
BALB/cByJ	1	male	2.85896896186184
A/J	2	male	3.05239621091083
C57BL/6J	3	male	3.13136357884395
DBA/2J	4	male	2.81905815176936
C3H/HeJ	5	male	2.91089636570359
129S1/SvImJ	6	male	2.69287726383798
AKR/J	7	male	2.97769765569669
CBA/J	8	male	-0.55295631513015
BALB/cJ	9	male	2.07102307803833
C57BL/10J	10	male	2.47155934915512
FVB/NJ	11	male	2.87780445369666
SJL/J	12	male	2.80396883580588
NZW/LacJ	13	male	2.09432182256944
PL/J	14	male	2.41378566513356
DBA/1J	15	male	2.61250156275706
C57BLKS/J	16	male	2.68198622819386
SWR/J	17	male	2.7488896422074
SM/J	18	male	2.14436391677688
BTBRT<+>tf/J	19	male	2.71749688220134
LP/J	20	male	2.75596199441171
NON/LtJ	21	male	2.5694252063013
KK/HlJ	22	male	2.50808592273541
C57L/J	23	male	2.84172647731687
LG/J	24	male	2.32596471060915
RIIIS/J	25	male	2.34035297260175
I/LnJ	26	male	2.27264138677197
MRL/MpJ	27	male	2.54117210134391
P/J	28	male	3.08697478980909
CE/J	29	male	2.22135015022658
NOD/LtJ	30	male	2.60226640199722
NZO/HlLtJ	31	male	2.49787675844182
C57BR/cdJ	32	male	2.00410075506933
BUB/BnJ	33	male	2.1623417718008
BPN/3J	34	male	2.21379322277576
